African American,Asian,City,Cost of Living Index,Hispanic,Median Age,Native American,Population,State,White,State Religous Index
6927.0,4707.0,Fayetteville,91.8,5535.0,27.1,2058.0,82832.0,Arkansas,68830.0,70
3144.0,2646.0,Flagstaff,109.3,13606.0,23.9,5117.0,70317.0,Arizona,58696.0,53
55137.0,657.0,Flint,86.3,2525.0,35.3,1508.0,98297.0,Michigan,44786.0,53
3176.0,7913.0,Fort Collins,110.9,15521.0,29.6,3271.0,161181.0,Colorado,150568.0,47
9851.0,6228.0,Fort Smith,84.9,17104.0,34.9,2993.0,88195.0,Arkansas,66004.0,70
46319.0,13596.0,Fort Wayne,87.8,21234.0,34.7,3577.0,258144.0,Indiana,204114.0,54
46072.0,75318.0,Fresno,106.0,256145.0,30.0,11380.0,520072.0,California,325651.0,49
32912.0,11963.0,Gainesville,97.8,12208.0,26.0,740.0,130133.0,Florida,87612.0,54
42256.0,6057.0,Grand Rapids,94.3,31282.0,32.1,3436.0,195099.0,Michigan,143702.0,53
2856.0,2202.0,Greeley,107.7,39271.0,31.0,2449.0,100883.0,Colorado,92874.0,47
7561.0,5652.0,Green Bay,92.1,16786.0,32.9,6547.0,105221.0,Wisconsin,82033.0,45
124108.0,12683.0,Greensboro,92.7,22147.0,35.5,3688.0,285344.0,North Carolina,144930.0,65
37355.0,2787.0,Greenville,90.7,4409.0,26.2,917.0,90588.0,North Carolina,50289.0,65
27799.0,1723.0,Gulfport,88.0,4247.0,35.1,,71872.0,Mississippi,42870.0,77
49939.0,4105.0,Hartford,106.4,55959.0,31.0,2451.0,124014.0,Connecticut,46529.0,43
529431.0,173854.0,Houston,96.9,1028148.0,32.6,13157.0,2298628.0,Texas,1386389.0,64
61561.0,6566.0,Huntsville,91.7,10887.0,38.1,1755.0,189114.0,Alabama,121904.0,77
253932.0,29307.0,Indianapolis,91.5,83426.0,34.1,8656.0,848423.0,Indiana,553665.0,54
139567.0,864.0,Jackson,88.5,3017.0,31.7,323.0,170811.0,Mississippi,28775.0,77
30103.0,1171.0,Jackson,86.7,3383.0,35.3,564.0,66980.0,Tennessee,36037.0,73
282692.0,50895.0,Jacksonville,100.3,80064.0,35.7,8177.0,868031.0,Florida,543582.0,54
13253.0,4204.0,Jacksonville,93.8,11947.0,24.2,1741.0,67363.0,North Carolina,51245.0,65
14599.0,1282.0,Jonesboro,86.3,4614.0,32.6,2109.0,73906.0,Arkansas,56626.0,70
19194.0,2429.0,Kalamazoo,89.1,4114.0,26.4,954.0,76040.0,Michigan,56866.0,53
2887.0,4252.0,Kennewick,101.7,19395.0,32.0,1101.0,78903.0,Washington,65228.0,45
54601.0,8183.0,Killeen,89.1,32600.0,29.2,2362.0,140809.0,Texas,75823.0,64
35049.0,4717.0,Knoxville,93.1,8640.0,33.1,2304.0,185312.0,Tennessee,145055.0,73
39862.0,2776.0,Lafayette,91.4,6556.0,31.7,1183.0,127661.0,Louisiana,85282.0,71
38358.0,1444.0,Lake Charles,90.8,3157.0,31.8,592.0,76066.0,Louisiana,36346.0,71
25111.0,3348.0,Lakeland,96.7,16501.0,38.1,288.0,104410.0,Florida,75636.0,54
34196.0,4168.0,Lansing,89.4,14245.0,31.4,5254.0,114110.0,Michigan,75688.0,53
832.0,1963.0,Laredo,91.6,243190.0,28.8,1253.0,255789.0,Texas,246442.0,64
3825.0,3266.0,Las Cruces,90.6,60614.0,32.7,2368.0,101644.0,New Mexico,91201.0,57
84987.0,55745.0,Las Vegas,103.1,204913.0,37.5,8456.0,623769.0,Nevada,429142.0,49
5777.0,6547.0,Lawrence,94.1,6435.0,27.4,4239.0,93916.0,Kansas,79793.0,55
25767.0,5173.0,Lawton,84.2,13780.0,31.1,10027.0,96659.0,Oklahoma,63948.0,66
51493.0,14066.0,Lexington,92.3,21766.0,34.4,3187.0,314488.0,Kentucky,249339.0,63
16445.0,15138.0,Lincoln,95.1,20296.0,32.3,4281.0,277346.0,Nebraska,246677.0,54
85606.0,8423.0,Little Rock,89.4,15500.0,36.6,961.0,197986.0,Arkansas,102312.0,70
19904.0,1810.0,Longview,91.1,17614.0,36.8,253.0,81590.0,Texas,60997.0,64
23594.0,7508.0,Lubbock,89.9,90706.0,29.2,7627.0,249051.0,Texas,206318.0,64
23271.0,2910.0,Lynchburg,95.4,2689.0,28.7,1024.0,79812.0,Virginia,53727.0,61
84569.0,3588.0,Macon,88.7,4897.0,36.0,682.0,153459.0,Georgia,64117.0,66
20424.0,23937.0,Madison,101.7,19697.0,30.7,2296.0,248956.0,Wisconsin,204302.0,45
6896.0,4304.0,Manchester,110.8,11962.0,37.3,558.0,110223.0,New Hampshire,100108.0,33
3332.0,5575.0,McAllen,86.8,113829.0,32.3,664.0,140253.0,Texas,107763.0,64
1201.0,2135.0,Medford,109.1,14294.0,38.6,1239.0,79795.0,Oregon,75464.0,48
420983.0,15778.0,Memphis,89.8,46621.0,34.1,4127.0,655760.0,Tennessee,202961.0,73
6464.0,9911.0,Merced,107.4,43684.0,29.7,2331.0,82440.0,California,42475.0,49
